ID|date|headline|short_text|text|image|image_align|image2|image_align2|show
12|2/9/06|1230m - Memphis and Beyond! |2/9/06<br>Graceland a Comeith! <br>1032m <br>Graceland is a cool place. Check all the pictures out! Raise your hand if you knew he had a racquetball court building. Well off to Little Rock. We haven’t heard anything good about it. So we are thinking of a quick stop. Good times!  Let the flat states ROLL! -A<br><br>I got a text message on my phone today. <br>this is kyle from the saucer last night, cool website and i love the pics, i was the tall guy with the mug<br><br>Pretty cool huh! <br><br><br>1:54pm<br>1052m<br>Arkansas Welcome center. Nice people but nothing to see in the state. They did say that Little Rock has a area similar to Atlanta’s Underground. I guess they didn’t like my joke about the Presidential Library and Cigar Ship.  Not too sure if we are going to stay in the state tonight. Arkansas IS only 5 hours wide.  -A <br><br>4:31pm 1232m<br>OK, who knew Little Rock was stupid. There was nothing worth stopping for. So we are headed for the border of Arkansns and Oklahoma. We did get to see and smell a good sized forest fire. It smelled good! –A<br>8:00pm<br>1337m<br>So we drove right on through Arkansas, unless its summer and your into camping there is nothing to really do.  It appears all the towns around Rt 40 in this area are just big truck stops.  We just ate at a Chinas Buffet for $3.99 each.  Who says traveling has to be expensive.  Now we are staying at a Super 8, our room doesn’t even have a clock and doesn’t smell that bad now that I sprayed the room down with Frabreeze.  By the time we finish this trip we should be signed up with every type of hotel rewards program that they have, since we never seem to stay at the same type.  <br>As far as last night goes it was a blast, Memphis is a cool city that is on the up and coming and Beale Street is a blast.  Tonight we are just chilling since they are predicting snow tonight and in the big city of Sallisaw OK.  We will just wait and deal with it in the AM. - K<br><br>9pm<br>More emails and text messages. <br>- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -<br>Shoney's!  I love Shoney's!<br><br>And Keith, Carleton is not a boat!<br><br>Mark<br><br>--------------------------------------------------------------<br>  Helmsman, Team Eagle<br>  http://www.teameagle.org<br>- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -<br>hey Fellas,<br> <br>Hi Keith and Adam- <br> <br>Adam, you don't know me...but I'm an old drinking buddy of Keiths from the maritime academy, but thats a story for another day. I've got a customer of mine who is also a good friend who lives in Telluride Colorado--He and his bride run the only Thai resteraunt for like 300 miles there, the place is supposed to be unreal, I've had her cooking onboard the boat they cruise on in the summer and its key-- and thats on a boat. If you guys want I'll give him a shout and tell him your coming that way- He'll treat you right if you tell them I sent you...might even give you a place to crash, he's a fantastic guy, and loaded. <br> <br>i'm fucking jealous of your trip for the record- you guys do rock and I've been checking your site 15 times a day, keep up the good work and goodl uck with the bronco. <br> …<br>Keep up the good work, I'm going to drink some beers for you guys tonight- <br> <br>Rock on,<br> <br><br>Cashen<br>- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -<br>Whazup boys?<br><br>Been keeping track of you on the site. It sounds like you're having a blast. Wish I could be there for the journey<br><br>Tim Borland<br>- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -<br><br>Hey Keith and Andy - Keith, your parents filled me in on your "Excellent Adventure" and it sounds like you guys are having a blast.  You didn't miss a thing in Little Rock......been there, done nothing. <br> <br>Be safe and have a great time - what a riot.  I love your stories and pictures - it's fun to watch someone else acting as weird as your dad and I once were in the hotel business!!!  Looking forward to hearing all about it when you come back to Punta Gorda next time.  I'm going to try and get your parents buzzed a little on St. Patty's Day again - probably not a difficult job.  We do enjoy ourselves here for old people.  See ya.  Lynne<br>- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -<br><br>It is great having all these emails! Well I am about to walk across the parking lot here at the motel and find a wireless signal. Damm these updates take a while. &#9786; <br>Night yall from Sallisaw Oklahoma. –A<br>|||left|||Yes
13|2/10/06|1337m 9:14am|Wow motels ROCK! This morning we are going to look for a laundry. Good thing since I am all out of socks! The snow seemed to have passed us. But we have some rain. OOPS correction it just started snowing. Good thing we have a 4x4 button in the truck. The front drive axle seems to be missing. We hope it left us before our trip. Time to wash the socks! –A <br><br>10:35am<br>Side note from last night. Motels that are near train tracks rock! Oh and for ventilation ask for a room with a ½ inch gap under the door. Also the lack of power outlets was fun. Good thing the truck as two! We found a piece of paper at the motel saying we are 1439 miles from San Diego. Good to know! It appears we are half way there. It has stopped snowing.  –A  <br><br>12:30<br>1428m<br>When you are driving through Oklahoma make sure you stop by the Old West Museum (territory city) it is an interesting 15 minutes.  But it is a deal when they only charge a dollar admission (it appears that he was a colleted and his wife told him to move all of his stuff out or the house so way back in 1964 he built a museum in front of his house. )\<br><br>  On another note yesterday we saw another<br>4 Walmarts<br>4 Cracker Barrels  <br><br>Earlier today we stopped and toward the Cherokee Court House Museum and that was FREE.  Check out the Pictures. –K<br><br>1:15pm<br>460m<br>SONIC its Americas Drive In.  We had seen the ads on TV but never had the experience until today. We highly recommend Sonic you even get after dinner mints with your meal.  Where else can you sit on you fat ass in your car and get someone to bring you your Fat Food with a smile. – K<br><br>2:00pm<br>1488m<br>It took a lot of miles but we finally met a helpful Welcome Center worker.  Lucky clued us in on what we have to see while we are heading west.  He also hooked us up with a special map so we can do RT 66 tomorrow, YAHOO!!!! - K<br>	<br>1500m  <br>2:20pm<br>We went to the Cowboy Hall of Fame, which is now the National Cowboy & Western Heritage Museum.  It was kind of cool, lots of Art stuff to took at and a ton of old guns.  Well now we are headed south into the big city we will see how this goes. – K <br><br>1507m<br>4:56pm<br>Well we just left Toby Keith’s Bar and Grill. Not bad. We are still in downtown Oklahoma City. The memorial was pretty cool too. We decided to head out of the city on the old Route 66. We are in search of a dive bar and a bad motel. Well maybe one with plenty of power outlets. <br><br>We heard from a bar tender that there is really nothing west of Amarillo. So stay tuned. –A<br><br>8:30pm<br>1590m<br>So we left Oklahoma City and headed out on the good old RT 66 funny thing is that all the signs have been stolen so it tends to be a bit difficult.  In fact we took a nice 20 mile detour over dirt roads just to see the sights like farm land and stuff and it was not done because we got lost, no way we would never get lost.  We ate a Mexican place tonight and now we are hanging out at our hotel. – K <br>Cracker Barrels +1<br>Walmarts +1<br><br>9:38pm<br>Keith forgot to mention how much of a dive the first motel we looked at tonight. It was right out Psycho. We asked the guy and he said it was $39 for the night. Then as a joke I asked about the Mircotel up the street. He said it was $45. Hmmmm. Let me think. Nice new hotel with free wireless, a pool, and free breakfast for $5 more? It was REALLY tough. &#9786; Well we are more than half way there! :) <br><br>I have been getting tons of people jealous of our trip. All I can say is that everyone can do it! Just go and live life. Night All!  -A<br>|||left|||Yes
14|2/11/06|1590m - Hinton OK|8:30<br>Well we are going to hit the road soon.  The rest of the this trip will be sponsored by FABREEZE….. at least until we find a laundry mat.  I hope you are all enjoying the snow back home. – K <br><br>10:10am<br>1629m<br>We just stopped at the Cherokee Trading Post. Damm is it windy. Good thing we do not have to worry about traffic. That is since we are driving on sections of the old route 66. It is pretty cool since it follows the highway by about 50 feet.  –A<br><br>11:30am<br>1638m<br>Route 66 Museum was well worth the stop! They had a movie at the end for the audio tour that was amazing. It made us feel pretty bad for all the small towns and places that went under. Highways BAD! Route 66 GOOD! Keith is now having a ball driving another old section. The museum really made me think about everything this country has gone through. Makes you appreciate what we have now. More from Route 66 later! –A<br><br>2:30pm<br>Well we stopped by Sisters Café in Erick OK.  Great little place for a good meal.  We spoke with one guy there that told has dry the entire area has been,  They have not had a good rain since September.  We were informed that even though they live in the sticks they have computers so we gave some cards so they could follow us too.  It is amazing driving down  Route 66 and seeing how just moving the main road a few hundred yards entire towns closed down and become ghosts towns.  Its very sad but if you ever get a chance to drive 66 I would highly recommend it. – K <br><br>1804m<br>4:45<br>Big Texan had a really big beer but did not try the 72 ozer – K<br><br><br>1820m<br>5:25<br>Cadillac ranch stopped to see 10 Cadillac buried in the middle of a field.  Not as cool as we thought.  OH Well still something you have to stop and see.  Now we are headed west to find a hotel. -K  <br><br>12:14am<br>1930m<br>Today was a full day. Keith already talked about some of it. So we ended up in Tucumcari New Mexico. It is an interesting little town. They have about 30 hotels and no other real industry. Pretty sad actually. We did meet some really great people. Starting with Toni. She is going to be in Vegas next weekend. And she is interesting in buying the truck from us for her son. I would love to sell the truck to her! I would be a great ended to the truck’s story to sell it to a family. &#9786;  We meet her and a few other people at the Pow Wow Inn. The had a little bar called the Lizard Lounge. The Inn is actually on the old Route 66. We still have not done laundry yet. And if the local laundry shop is closed we got an offer to go to Debra’s house. She was out waitress at the Lizard. How NICE! Well it is late and I am tired. Damm Keith making me drink! -A<br>|||left|||Yes
15|2/12/06|1930m - Waking up in Tucumcari NM! |Leaving Tucumcari and heading for the Four Corners.<br><br>1999m<br>Yup we just rolled the trip meter again. We are about an hour outside Albuquerque to the east. Today we are heading for the four corners. You know the place where you can stand in Arizona, New Mexico, Utah, and Colorado. How cool? We are probably going to see some Aztec ruins too. Oh laundry update, we smell! Man there is nothing out here on the road. I mean nothing. -A<br> <br>10:53pm<br>I have figured a few things out on this trip.  Denny's taste the same no matter where in the US you are.  When people say there is nothing to see, they really mean there is nothing to see.  What we back east consider truck stops out here where there is nothing they consider towns.  OH FABREEZE freezes just incase anyone was wondering so until we get our laundry done our bottle comes in the room with us.  Today we say Coronado monument and then drove north and see the Aztec ruins both kind of cool.  Tonight we went out to a local brewpub that was pretty cool. In the back room area they even had a a fire pit.  All in all this has been a very interesting and exciting trip.  In the AM we head to the four corners area and from there who knows.  I hope the snow was not to bad back east. - K <br><br>Today was a tough yet good day. We put in like 400 miles. And we say several Native American ruins. Tomorrow some more of the same. I have a TON of fun on this trip. I hope the next 6 or so days are the same! : Night all! -A<br><br><br>|||left|||Yes
16|2/13/06|2280m Farmington, NM - Chile|Leaving the hotel, Carleton the truck needed some attention this morning.  We got in to go and he would just not start.  After trouble shooting for a few minutes we figured out it was the starting/ignition solenoid.  We bypassed the solenoid with a pair of vice grips and then drove to NAPA and changed out the part in the parking lot. We also changed the battery connection for good measure.  Since we had to work on the Carleton we will be forgoing our original plans to do laundry.  – K <br><br>11:20<br>2332m<br>Cross over to AZ to head to the four corners. – K<br><br>2341m<br>12pm<br>Four corners is pretty cool. It is on Navajo Land. We think it is not the actual spot but still. Check the pictures out! They are amazing. And to think we added three states to our journey. Utah, Colorado and Arizona. Next stop Cayon De Chelley for some ruins. –A<br><br>2166m<br>12:45<br>Well, YES IT FINALLLY HAPPENED.  ANDY GOT PULLED OVER.  BY A VERY NICE COP.  HE WROTE US A WARNING AND GAVE SOME TIPES ON HOW AND WHAT TO SEE WHILE WE ARE TOURING THE AREA.  ANDY GOT PULLED OVER HAHAHA. – K <br><br>5:32pm<br>2478m<br>Chi<br>Well after getting the warning from the nicest cop we went hiking. Yup that is right we went to the Cayon De Chelly Park and saw some of the coolest canyons ever! We even hiked a 2.5mile trail. You HAVE to check out the pictures. There is even a picture of Keith hiking. Who would ever think keith would do something athletic? We went to a set of ruins called White House. Pretty cool stuff! Oh Good news! There is a laundry place across the street from the hotel. We are going to do laundry in a hour or so. Exciting isn’t it? Oh the camera battery died, if we can get it charged there will be pictures! &#9786; Funny thing about breaking down again, the new owner is going to get some new parts. The price of the truck is going up baby! -A<br>|||left|||Yes
17|2/14/06|2478m Chinle to Parker|Happy Valentines Day! Last night we got pizza and while getting sodas out of a machine we hit the jackpot! The machine gave us 14 free cokes and $.75. Wew Hew! Well today we are off the South Rim of the Grand Canyon. Should be some good pictures. Check them out!<br>Well we stopped next door for gas and boy is it expensive over here.  Its running about 2.47 per gallon.  Just a couple more days and we will be in California.  – K<br><br>1:21pm<br>2673m<br>The GRAND Canyon. And yes it is GRAND! It took a few hours to get here. But well worth it. We are right now on the South Rim –Desert View area. We are at roughly 5200ft elevation. I mention this because both Keith and I are out of shape! Huffing and Puffing! The good news is that we are not sore from the 2.5mile hike yesterday. As we sit in the truck drinking coke and eating left over pizza from last night. Not to mention the free candy bar form the gas station this morning. &#9786; Who knew 2 medium pizzas, and 14 free cokes could last for dinner, breakfast and lunch? Oh if you are ever out this way bring you own liquor! No alcohol on Indian Reservations. Keith is going through withdraw for rum! We will find him soon! Well off to Lake Havasu! –A<br><br>4:08<br>The Grand Canyon is amazing no wonder it is one of the 7 wonders of world, the guy that came up with last knows his shit.   There is a lot to do out this way, I wish we had another week to see everything out in these parts.  Carleton is having a good day Andy has been moody I think its do to the elevation changes or it might be because I find pissing him off funny. - K <br><br>11:35pm<br>2950m<br>Well Keith is still at the Blackjack table. Guess who just walked in! Yup that’s right Blackjack. While at a brew pub in Lake Havasu, AZ they, Yup we say the London Bridge,  Then had a few drinks and someone recommended that we head towards Parker, AZ. They said the Blue Water Casino had a $35 room special. Well Keith apparently got the last $35 room. Keith is drunk and once again looking for the Gideons Bible. He thinks they are one step ahead of us on our trip. They must be checking the website out to see where we are going next! Tonight I drank a little and lost $100. Keith thinks he lost $40. Oh we had a few drinks at the oldest floating bar on the Lake. Check the pictures out. Oh due to the lack of internet access the pictures will be delayed. We have been told that San Diego is only 4 hours away. So we are on schedule to be there tomorrow. Tijuana on Thursday and Vegas on Friday! Right on schedule! Carleton had some issues today but we seemed to clear them right up. Ugh, I had a few drinks. See yall! Tomorrow! &#9786; <br>|||left|||Yes
18|2/15/06|2958m - Parker AZ to San Diego|8am<br>Good Morning Parker. It is odd to be waking up in a casino that has $1 blackjack tables. The bad part is that there is no internet access for miles. So this morning Keith and I are going to look for a McDonalds. Wish us luck! –A<br><br>9:00am<br>This casino is pretty cool for being out in the middle of nowhere.  They even have a lake with a marina on in.  I have some updates that have been late.<br><br>2/12 Walmart – 2<br>Cracker Barrel -2<br><br>2/13 Walmart – 1<br>Cracker Barrel -1<br><br>2/14 – Walmart – 1<br><br><br>Total Update as of 12/14<br>Cracker Barrel = 35<br>Walmart = 21<br>-	K<br><br>9:45am<br>Well the McDonalds here sucks. So I am updating the blog from my cell phone! From a desert. Who knows where the cell tower is. –A<br><br>10:07am<br>I just got off the phone with a friend. And they asked me to get them some Viagra when I am in Tijuana. The funny part is that they were so adamant that they did not need it. But they were curious. This is the funniest request that we have had to date! Oh we must be in the RV capital of the world! There are thousands! <br><br>11:40am<br>Hello from Yuma AZ. We rolled the trip meter a few miles ago. We now have driven 3056m! &#9786; We should be in San Diego in an hour. Well that is with the time change too! Yup we gain another hour. Keith just found another cracker barrel! And I am quoting him here, “There is a GOD!” LMAO! –A<br><br>12:45pm (pst)<br>3121m<br>Carleton has an upset stomach. We think it is a cylinder misfiring. And he is burning  aa little oil. But we are at small repair shop in El Centro, CA. Geez we only have like 350m to go! Now the funny thing. They have an open wireless! &#9786; -A<br><br>1:16pm<br>They say it is just the spark plug. But it could use a tune-up and some other little parts. But since we are selling the truck in a few days we just want to get up the road. &#9786; $60 for the fix! Yupeee! -A<br><br>1:29pm<br>Correction – What does compression mean? Well it appears we only have 5 out of 6 cylinders. Good thing we have a few extra! &#9786; Plenty of oil and he will make it to Vegas! YES! –A<br>5:12pm<br>3260m<br>Ever drive a car in a wind storm with the windows down because the car is filling with smoke from burning oil? Well we did. HOLY SHIT! Well this is all due to the bad cylinder. We must have put in about 6 quarts of oil between El Centro, CA and San Diego, CA. But we are here. Now it gets even funnier. When we stopped to put oil in we unplugged a vacuum line to get better access to the oil fill. Well we forgot to reattach it. This caused the truck to stall at idle. Yeah fun stuff. Basically I had to shift into neutral, and rev the engine with my right foot. All while breaking with my left. Then when we could accelerate again drop it back into gear. Good times! So after 5 stalls and several mis-turns we got the hotel. While checking the oil one last time we found the disconnected vacuum line. It turns out that was what causing the bad idle problem. LMAO! At one point during the smoke filled drive Keith grabbed the title. As he says, “you know, in case we have to bail!” LMAO! We may have another buyer here in San Diego. If the truck can not make it to Vegas on Friday we are going to get a rental car. Tomorrow we are looking to sell the truck. Plus tomorrow it the day trip to Tijuana! &#9786; -A<br><br>This has been one of the more entertaining legs of trip.  Let me just say sandstorms hurt.  Since we were burning spilled oil and cab of the car, kind of filled up with smoke so we had to keep the windows down during the sand storm.  Then the vacuum line OOPS.  But now we are back to what we had early this morning.  5 out of 6 cylinders.  I am glad they give you a few extra.  <br><br>Walmart + 1<br>Cracker Barrel +1<br><br>GOOD TIMES  WE NEED A DRINK- K<br><br>10:32pm<br>So after all of that, we made it.  Tonight we went out for dinner to some stake house down the street.  It was very good except for the fact they had Karaoke and after traveling 3250m we have decided that no place should have Karaoke.  It falls in the category of things we wish we could disinvent.  But other then that if was a fun evening.  Have a good night all. – K<br><br>Keith is drunk, and I am almost there. &#9786; Wow good times! So as you can read we had a crazy day! Check out the pictures and even check out the movie from the thick of the action!  See you in Vegas! –A<br><br>Updating from the cell phone again! -A<br>|||left|||Yes
19|2/16/06|San Diego|So today we tried the San Diego trolley system, It’s kind of nice.  We took it right down to the Mexican boarder,  you walk right over a bridge and your in Mexico. Just incase anyone is wondering Tijuana is a fucking hole, at first I thought was a bit harsh but then I decided that Tijuana is just a fucking hole, no one ever needs to go there.  San Diego is a cool city, we went out in the gas light district and had a good time in a few bars, this city seems to be a bit high class, lots of white table cloths and glass with stems.  On another note today I figured that no matter where in the world you are if you ride mass transit after dark all the passengers belong on the Jerry Springer show.  We will be trying to sell Carleton in the AM.  – K <br><br>Loud Andy is not died just incase people were interested.  He was going to write tonight but he kind of passed out. – K<br>|||left|||Yes
20|2/17/06|San Diego to Vegas|Still in San Diego. Wish us luck. We are going to try and sell Carelton this morning. We do not think he will make it over the mountains to get to Vegas. I am thinking of renting a Mustang Convertible. How cool would that be? Last night was a good time. With all the walking and drinking I did pass out. I just woke up with all my clothes. No worries!  -A<br><br>11:30<br>Well selling Carleton did not go as planned.  So we are now headed to Vegas in Carleton, wish us luck.  From what we heard, there is are some mountains we have to cross but once we do its all basically down hill.  At least that’s what a PI told us the other night.  We have coolant, engine oil and music, ready or not here we come. – K<br><br>3352m<br>1:34pm<br>Well Carelton is behaving so far. We are just outside Barstow, CA and we just added another quart of oil. Good thing we have two left. And we do not have to worry about keeping up with traffic. We are in a jam and doing 20 miles per hour. At this rate we should be in Vegas by March! ;)  -A<br><br>Keith just reminded me that I did not mention anything about Tijuana. Well I can see why Mexico is considered a third world country. Well at least a second world. It is SUCH a tourist trap. But we had to go. It was kind of cool to be sitting there at lunch and watching the foreign street traffic. <br><br>Keith and I are still laughing about the dash smoking! And my idiot comment “lets just keep going!” Well we think the fuel additive help the oil leaking and compression problem. Our fingers are crossed! We ROCK! –A<br><br>2:47PM<br>3406m<br>Well we just stopped in Barstow to get a little more gas and check the oil. Well everything looks Good! Oh we go! –A<br>Holy CRAP! We added this STP Octane booster bottle. Dang that stuff works. It is supposed to stop knocking and add performance. The bottle even said it was “Barely Legal”! The funny part is that it really works. &#9786; -A<br><br>4:30pm<br>3510m<br>Well we just crossed into Nevada. Way to go Carleton! No problems with him so far! Good thing because I am picking up Jenn at the airport. We have 40 more miles to Vegas. Fingers are crossed! –A<br><br>Oh the “Check Engine” light has been going on and off all this leg of the trip? Anyone know what that means? Cause the last time we looked under the hood, there WAS an engine. -A <br><br>So we have spent the last 30 minutes sitting in bumper to bumper traffic. Apparently we are heading into Vegas’s rush hour. 3600 miles just to sit in traffic. –A<br>|||left|||Yes
21|2/18/06|3610m - Vegas & Hover Dam!|3555m<br>Vegas Baby! Vegas! <br>Well we made it! We even made to the airport to pick up Jenn. Yeah she was a little happy to see me. &#9786;  Well last night we has a late dinner and hit the tables. Jenn was even on the blackjack tables but hit the slots for $20. I was about $60 on the tables and keith won about $40. Good Times! We got some good fan mail today: <br><br>Hey A&K - Take Carleton to a big ass cleared lot in LV and open up the Carleton Resort and Casino. Bust out a set of cards on the tail gate and you'll be good to go. Sounds like a great trip, more entertainment than the Olympics. Plan B is to do a Thelma and Louise into Lake Powell and claim the insurance. (my granddad worked on that dam back in the day) Check out the fountains at the Bellagio, it's a great show - for <br>free.<br><br><br>Funny stuff! –A<br><br>33610m<br>We made to Hoover Dam.  We took the tour and it was pretty cool.  Tonight we are going to hit the town and sell Carleton.  We will see how we do.  So far I have been in town for 20 hours and I am up $60.00  - K<br>|||left|||Yes
22|2/19/06|3670m - Good Bye Carleton! |10:30am<br>Well the good and bad! <br>Good: I am up like $100.<br>Bad:<br> Carleton lost the Overdrive gear. Yeah It made for some good times on the road. Basically it was acting as if we had no tranny. We did not sell him yesterday. We are going to try to get $500 for it. Ugh. Bad cylinder, blown overdrive, exhaust leak. But we got here! &#9786; More bad. The power supply on my laptop died. Well at least I am hoping it is just the power supply. <br><br>Last night was good. Keith and I walked the strip a little. Yeah not a good idea considering the strip is like 8 miles long! Tonight we are going to check out Fremont Street. Should be interesting. –A<br><br>Vegas is pretty cool.  As Andy said Carleton being a little bastard.  But we have to get rid of him today some how.  This has been a great trip.  I am still up a little.  The Strip is pretty cool we walked in a bunch of the hotels and stuff but we forgot our camera so that sucked.  Today more fun and then flying back home in the AM.  – K<br><br>More to come. But since the laptop has no power supply updates are going to be sparse for the next day or so. Sorry! Please check back in a day or so! Thanks –A & K<br>|||left|||Yes
23|2/19/06|3682m - GOODBYE CARLETON!|11:45am<br>Yup we sold him to some random guy for $600. Good thing since the tranny and engine have major issues. Time to hit the tables! &#9786; -A|||left|||Yes
24|2/20/06|Leaving Las Vegas|Well we are leaving Las Vegas this morning. We have a lay over in Atlanta. But should be home by 10pm (est). In the next day or two we will post some totals on prices and some final thoughts. Check back soon! &#9786; -A<br><br>Atlanta. <br>Well after a unscheduled layover in Dallas we are in Atlanta. Apparently there were tons of storms here and everything has been backed up. We may even end up getting bumped. But Airtran would pay for the hotel, dinner and give us each two free roundtrip tickets. That would be kind of cool. Just think the trip that doesn’t end! -A<br>|||left|||Yes
25|2/21/06|Home at Last!|Well our layover last night was a pain. But we did each get two free tickets. Anyone want to go to the Bahamas? -A<br><br>Expect a big final update by the end of the week. :) -A|||left|||Yes
26|2/27/06|Final Thoughts.|Keith's:<br>  Ok, so you have all heard about our trip home. The entire trip was a <br>great time and I would strongly recommend to anyone to try a similar <br>trip. What we found out:<br><br>  When people say there really isn't anything to see, more often then <br>not there really isn't anything to see.<br><br>  Try to go to local places to meet the people because that is the <br>region is not the truck stop or mini mall.<br><br>  Never plan to much because plans never work out and that will lead <br>to disappointment, stay flexible.<br><br>  All in all it is very nice to be back home on my boat (it's still <br>floating and everything). The sights were amazing and the people <br>where awesome, We didn't have enough time to do everything in fact we <br>missed enough that it might be worth another cross country road trip.<br><br>  To all the people and friends we met along the way, thank you for <br>being apart of our trip and making our experience amazing.<br><br>-- Keith<br><br>ps. always take a lot of pictures.<br><br>pps + 1 walmart<br><br>Grand Total for the trip<br>Cracker Barrels = 35<br>Walmart = 22<br><br><br>Andy's:<br>  The was a blast! Would I do it again? HELL YES! Next time I would get a slightly more expensive car. Oh say maybe $2500. :) I would take more time to do it as well. I think we missed a TON of  stuff. With more time I would also try and meet more locals and try and crash with them. I think that is the best way to get to know a place. Looking back on the trip I don't think I would want to do that with anybody other than Keith. We had several phrases we kept saying the whole way. Keith would say "It will all work out." And I would say "It will make sense when we get there."  It is things like that that keep you sane. :) You know like when there is smoke coming out the dash and we just started laughing. :) Good Times! <br>  What is also amazing is all the people that were cheering us on  on the web site. It was pretty cool to see all the people following us. It was also amazing meeting all those great people. Simply amazing! <br><br>Ok, Here are some stats from the trip. Mind you these are rough estimates. a.k.a. Drinks not included. <br>Total Cost = $4320<br>Average Daily cost = $127<br>Average Hotel = $89<br>Average Gallon of Gas = $2.38<br>Average Cost per Tank of Gas = $39.18<br>Average Miles per Gallon = 16.30<br>Total Gallons of Gas = 215.46<br>Total Miles = 3682<br>Total Cost of Gas = $512<br><br>SO Keith and I each spent a little over $2k. I think it was well worth it. :) On a side note. Due the layover in Atlanta we got two free roundtrip tickets. With one of those tickets I am going to the Bahamas with my girlfriend. :) Good Times. :) <br><br>Well this is the last addition to this site. If you want to continue to see how crazy my life is, just check out http://clemenko.net/andy In the future I may move it all over this site. But for not it is where it is. :) <br><br>peace.|||left|||Yes
27|4/18/2006|Emails|We have recieved several emails from people we meet. Here is one:<br>Just was on your website, sorry it took us so long to<br>check it out, but didn't take the pc with us on our<br>trip.  We returned home on April 9th.  We had a better<br>than great time, and we too will be doing it again.<br>Joe and I visted of course Nashville, where Joe<br>received a hockey puck from the Red Wing game,<br>Richmond, SC, St Augustine, Fl, W Palm Beach, Disney<br>World of course, Naples, Marco Island, Pine Island,<br>Crestview Fl, back to Nashville where we missed the<br>big tornado by 5 minutes if that, Alpena MI and home.<br>We had dolphins outside our condo every day, he fished<br>till he almost turned into a fish and met many<br>interesting folks.  I'm glad your trip was everything<br>you wished for.  It was great meeting you and who<br>knows maybe we'll meet on the road again someday.<br><br>Best to you both<br>The Decembers<br><br><br>These were the people we meet in Nashville. Right before the brakes locked up. Good Times. :) |||left|||Yes
